"Sr No","Product Name","Design No","Total Quantity","Required Quantity","Total Sold Quantity","Remaining Quantity"
"1","PORCELAIN FLOOR TILES","GS-5040","528","132","1088","-560"
"2","PORCELAIN FLOOR TILES","GS-5049","528","132","800","-272"
"3","PORCELAIN FLOOR TILES","WS-2001","1584","396","1689","-105"
"4","WOODEN FLOOR TILES","CREAM [120x30]","40","10","40","0"
"5","CERAMIC SANITARYWARE","SEAT COVER","12","3","12","0"
"6","CERAMIC GLAZED DIGITAL FLOOR TILES","10051","800","200","792","8"
"7","CERAMIC SANITARYWARE","Irani WC","203","51","189","14"
"8","CERAMIC GLAZED COLOURED FLOOR TILES","VT-21","920","230","901","19"
"9","CERAMIC GLAZED COLOURED FLOOR TILES","101 [30X30]","2484","621","2452","32"
"10","CERAMIC GLAZED ORDINARYWALL TILES","1112","1412","353","1379","33"
"11","CERAMIC GLAZED COLOURED FLOOR TILES","NEW-4 [40X40]","1853","463","1813","40"
"12","POLISHED GLAZED VITRIFIED FLOOR TILES","Brizon Nero","2100","525","2024","76"
"13","PORCELAIN FLOOR TILES","GS-5012","528","132","440","88"
"14","POLISHED GLAZED VITRIFIED FLOOR TILES","Emero Brown","2960","740","2864","96"
"15","CERAMIC GLAZED ORDINARYWALL TILES","1055","1392","348","1289","103"
"16","CERAMIC GLAZED COLOURED FLOOR TILES","202 [30X30]","2484","621","2378","106"
"17","POLISHED GLAZED VITRIFIED FLOOR TILES","Amadeo Grey","1520","380","1409","111"
"18","PORCELAIN FLOOR TILES","GS-5069","528","132","400","128"
"19","PORCELAIN FLOOR TILES","GS-5017","4000","1000","3857","143"
"20","CERAMIC SANITARYWARE","Washbasin","1000","250","845","155"
"21","CERAMIC GLAZED COLOURED FLOOR TILES","NEW-5 [40X40]","881","220","719","162"
"22","POLISHED GLAZED VITRIFIED FLOOR TILES","White Wave","960","240","792","168"
"23","CERAMIC GLAZED DIGITAL FLOOR TILES","10024","800","200","628","172"
"24","POLISHED GLAZED VITRIFIED FLOOR TILES","Amadeo Blue","1960","490","1763","197"
"25","CERAMIC GLAZED DIGITAL WALL TILES","TC-103","1980","495","1782","198"
"26","PORCELAIN FLOOR TILES","GS-5001","1584","396","1382","202"
"27","CERAMIC GLAZED ORDINARYWALL TILES","1849","1500","375","1164","336"
"28","POLISHED GLAZED VITRIFIED FLOOR TILES","White [60X60 PGVT]","3500","875","3088","412"
"29","CERAMIC GLAZED COLOURED FLOOR TILES","IVORY [30X30]","4968","1242","4431","537"
"30","CERAMIC GLAZED COLOURED FLOOR TILES","2001","3670","918","2878","792"
